datetime,q
2012-02-21 00:00:00+00:00,0.2732325023316603
2012-02-22 00:00:00+00:00,0.28956021390669334
2012-02-23 00:00:00+00:00,0.34096665737901455
2012-02-24 00:00:00+00:00,0.28167685406817844
2012-02-25 00:00:00+00:00,0.27726547251816136
2012-02-26 00:00:00+00:00,0.29685416413605076
2012-02-27 00:00:00+00:00,0.2773552682935977
2012-02-28 00:00:00+00:00,0.2990910175492071
2012-02-29 00:00:00+00:00,0.2669303112647546
2012-03-01 00:00:00+00:00,0.29142834082268165
2012-03-02 00:00:00+00:00,0.28399952200838585
2012-03-03 00:00:00+00:00,0.2829407058209348
2012-03-04 00:00:00+00:00,0.28638147219480364
2012-03-05 00:00:00+00:00,0.28234997759653657
2012-03-06 00:00:00+00:00,0.29025908802829714
2012-03-07 00:00:00+00:00,0.15244017644943167
2012-03-08 00:00:00+00:00,0.31573855097992265
2012-03-09 00:00:00+00:00,0.2780622062556205
2012-03-10 00:00:00+00:00,0.27917942984822186
2012-03-11 00:00:00+00:00,0.29031134874086195
2012-03-12 00:00:00+00:00,0.3086271155097837
2012-03-13 00:00:00+00:00,0.3021118176379387
2012-03-14 00:00:00+00:00,0.30771826300664695
2012-03-15 00:00:00+00:00,0.29083279451733957
2012-03-16 00:00:00+00:00,0.3163050851973928
2012-03-17 00:00:00+00:00,0.4651591760159234
2012-03-18 00:00:00+00:00,0.39909224776188135
2012-03-19 00:00:00+00:00,0.3596950256996032
2012-03-20 00:00:00+00:00,0.3414509077224139
2012-03-21 00:00:00+00:00,0.31251602223796726
2012-03-22 00:00:00+00:00,0.31786939026712613
2012-03-23 00:00:00+00:00,0.3195847508576428
2012-03-24 00:00:00+00:00,0.3483789361847215
2012-03-25 00:00:00+00:00,0.3297145065877768
2012-03-26 00:00:00+00:00,0.27314935011075026
2012-03-27 00:00:00+00:00,0.34917339579480033
2012-03-28 00:00:00+00:00,0.3428428169600821
2012-03-29 00:00:00+00:00,0.369832119990968
2012-03-30 00:00:00+00:00,0.3520007326042417
2012-03-31 00:00:00+00:00,0.22635155951354347
2012-04-01 00:00:00+00:00,0.1770090593308311
2012-04-02 00:00:00+00:00,0.3278548962323548
2012-04-03 00:00:00+00:00,0.3138835431431056
2012-04-04 00:00:00+00:00,0.3121950059720836
2012-04-05 00:00:00+00:00,0.3625723005232731
2012-04-06 00:00:00+00:00,0.3505657244085577
2012-04-07 00:00:00+00:00,0.3435447234934028
2012-04-08 00:00:00+00:00,0.3325185841541575
2012-04-09 00:00:00+00:00,0.3059505605339997
2012-04-10 00:00:00+00:00,0.24316450819924218
2012-04-11 00:00:00+00:00,0.06177909160024966
2012-04-12 00:00:00+00:00,0.13887303020541183
2012-04-13 00:00:00+00:00,0.29731457456180416
2012-04-14 00:00:00+00:00,0.29617442001602157
2012-04-15 00:00:00+00:00,0.3189391541494431
2012-04-16 00:00:00+00:00,0.3397948883280998
2012-04-17 00:00:00+00:00,0.3550826306993915
2012-04-18 00:00:00+00:00,0.28403945029883193
2012-04-19 00:00:00+00:00,0.3544554698889183
2012-04-20 00:00:00+00:00,0.311178406073907
2012-04-21 00:00:00+00:00,0.12459895379755673
2012-04-22 00:00:00+00:00,0.06671585787504998
2012-04-23 00:00:00+00:00,0.035193938079861306
2012-04-24 00:00:00+00:00,
2012-04-25 00:00:00+00:00,
2012-04-26 00:00:00+00:00,
2012-04-27 00:00:00+00:00,0.1274911954237351
2012-04-28 00:00:00+00:00,0.5723553495776708
2012-04-29 00:00:00+00:00,0.5390726954048435
2012-04-30 00:00:00+00:00,0.4754546539829466
2012-05-01 00:00:00+00:00,0.46251555989081494
2012-05-02 00:00:00+00:00,0.5319771745847359
2012-05-03 00:00:00+00:00,0.4554452321978365
